Moneyness,Asset,BS,JD,SV,QLBS,RLOP
Whole sample,BTC (τ=7d),94.92,110.75,115.64,412.74,46996.16
Whole sample,BTC (τ=30d),127.29,99.34,135.77,406.77,21269.31
Whole sample,BTC (τ=90d),106.99,106.99,31.64,462.94,8341.67
Moneyness <1,BTC (τ=7d),96.73,92.58,81.06,433.26,46208.53
Moneyness <1,BTC (τ=30d),124.23,165.63,226.26,393.49,21149.6
Moneyness <1,BTC (τ=90d),162.25,162.26,53.42,509.51,8520.31
Moneyness >1,BTC (τ=7d),93.68,121.48,134.01,398.32,47519.59
Moneyness >1,BTC (τ=30d),128.68,41.74,57.22,412.77,21324.47
Moneyness >1,BTC (τ=90d),62.66,62.66,8.07,437.52,8249.89
Moneyness >1.03,BTC (τ=7d),104.18,135.35,149.34,396.29,47575.35
Moneyness >1.03,BTC (τ=30d),133.68,43.33,59.48,412.19,21197.57
Moneyness >1.03,BTC (τ=90d),63.26,63.26,8.14,436.99,8239.8
