Moneyness,Asset,BS,JD,SV,QLBS,RLOP
Whole sample,SPY (τ=14d),91.49,55.3,74.7,133.18,211.01
Whole sample,SPY (τ=28d),76.5,17.66,42.08,102.65,82.47
Whole sample,SPY (τ=56d),65.52,9.16,21.95,85.47,253.08
Moneyness <1,SPY (τ=14d),105.12,55.03,77.46,177.03,238.32
Moneyness <1,SPY (τ=28d),88.35,16.24,41.31,133.86,95.27
Moneyness <1,SPY (τ=56d),77.73,8.86,14.3,108.4,351.41
Moneyness >1,SPY (τ=14d),63.6,39.84,61.27,60.88,178.15
Moneyness >1,SPY (τ=28d),54.65,17.51,32.08,54.55,63.71
Moneyness >1,SPY (τ=56d),48.66,9.21,20.7,54.29,85.31
Moneyness >1.03,SPY (τ=14d),72.26,46.14,71.09,45.92,170.85
Moneyness >1.03,SPY (τ=28d),61.9,20.15,37.05,41.66,55.94
Moneyness >1.03,SPY (τ=56d),56.64,10.86,24.83,42.29,71.89
