Moneyness,Asset,BS,JD,SV,QLBS,RLOP
Whole sample,SPY (τ=14d),102.21,66.68,93.36,179.02,303.29
Whole sample,SPY (τ=28d),90.12,19.21,64.47,157.54,120.44
Whole sample,SPY (τ=56d),77.77,9.98,43.5,139.57,463.93
Moneyness <1,SPY (τ=14d),116.36,79.81,105.13,242.35,346.7
Moneyness <1,SPY (τ=28d),102.83,18.81,81.88,208.07,148.95
Moneyness <1,SPY (τ=56d),90.13,9.65,56.03,182.25,652.74
Moneyness >1,SPY (τ=14d),82.76,44.43,76.69,84.03,257.65
Moneyness >1,SPY (τ=28d),73.04,19.13,35.48,83.23,81.71
Moneyness >1,SPY (τ=56d),64.05,10.33,24.9,79.73,89.42
Moneyness >1.03,SPY (τ=14d),95.43,51.07,86.0,59.93,240.62
Moneyness >1.03,SPY (τ=28d),83.64,21.93,41.03,64.76,71.72
Moneyness >1.03,SPY (τ=56d),72.96,12.03,30.01,67.25,77.73
