Moneyness,Asset,BS,JD,SV,QLBS,RLOP
Whole sample,XOP (τ=14d),381.1,366.43,396.83,305.39,586.21
Whole sample,XOP (τ=28d),269.6,247.74,247.96,209.7,221.26
Whole sample,XOP (τ=56d),65.07,45.25,77.75,150.38,214.73
Moneyness <1,XOP (τ=14d),490.11,472.32,505.0,388.93,654.95
Moneyness <1,XOP (τ=28d),347.45,321.34,322.3,264.84,254.5
Moneyness <1,XOP (τ=56d),70.88,45.59,92.7,178.51,264.53
Moneyness >1,XOP (τ=14d),97.1,77.81,114.49,82.59,484.83
Moneyness >1,XOP (τ=28d),103.3,81.77,80.06,107.3,172.72
Moneyness >1,XOP (τ=56d),58.2,44.03,30.13,97.35,72.45
Moneyness >1.03,XOP (τ=14d),102.82,82.52,117.39,87.81,479.55
Moneyness >1.03,XOP (τ=28d),110.59,88.58,87.62,118.48,180.02
Moneyness >1.03,XOP (τ=56d),60.16,45.41,32.03,97.55,70.56
