Moneyness,Asset,BS,JD,SV,QLBS,RLOP
Whole sample,XOP (τ=14d),151.73,95.57,123.06,155.25,295.25
Whole sample,XOP (τ=28d),106.1,64.83,73.3,111.23,163.62
Whole sample,XOP (τ=56d),68.77,37.9,37.56,74.92,163.25
Moneyness <1,XOP (τ=14d),169.82,116.64,138.94,184.5,248.99
Moneyness <1,XOP (τ=28d),123.68,75.07,86.06,134.59,137.33
Moneyness <1,XOP (τ=56d),88.7,38.97,42.58,93.88,223.61
Moneyness >1,XOP (τ=14d),120.26,50.37,96.54,105.2,332.7
Moneyness >1,XOP (τ=28d),79.44,43.28,49.46,65.95,182.29
Moneyness >1,XOP (τ=56d),43.04,31.58,28.47,50.43,83.03
Moneyness >1.03,XOP (τ=14d),129.06,53.78,103.53,110.83,341.81
Moneyness >1.03,XOP (τ=28d),85.4,46.07,52.92,66.93,191.37
Moneyness >1.03,XOP (τ=56d),45.98,33.59,30.24,48.89,80.64
