high,low,last,instrument_name,bid_price,ask_price,open_interest,mark_price,creation_timestamp,price_change,interest_rate,volume,mark_iv,underlying_price,underlying_index,estimated_delivery_price,base_currency,quote_currency,volume_usd,mid_price,run_date
0.0021,0.002,0.0021,BTC-26DEC25-144000-C,0.0025,0.0028,224.5,0.00263927,1762711980716,5.0,0.0,5.1,49.06,104282.9,BTC-26DEC25,103676.95,BTC,BTC,1045.05,0.00265,2025-11-09
0.0021,0.001,0.0021,BTC-13NOV25-110000-C,0.002,0.0023,1.1,0.00214858,1762711980716,110.0,0.0,1.1,46.08,103678.29355959762,SYN.BTC-13NOV25,103676.95,BTC,BTC,123.29,0.00215,2025-11-09
0.0435,0.036,0.043,BTC-27MAR26-130000-C,0.041,0.0425,1826.1,0.04182458,1762711980716,19.4444,0.0,6.5,45.96,105623.87,BTC-27MAR26,103676.95,BTC,BTC,27418.49,0.04175,2025-11-09
,,0.205,BTC-26JUN26-95000-C,0.205,0.2075,12.0,0.20648275,1762711980716,,0.0,0.0,48.1,107244.41,BTC-26JUN26,103676.95,BTC,BTC,0.0,0.20625,2025-11-09
0.0055,0.0039,0.0039,BTC-13NOV25-98000-P,0.0035,0.004,2.1,0.00373965,1762711980716,-29.0909,0.0,2.4,53.28,103678.29355959762,SYN.BTC-13NOV25,103676.95,BTC,BTC,1020.73,0.00375,2025-11-09
0.0095,0.0001,0.0095,BTC-21NOV25-110000-C,0.0085,0.009,557.4,0.00936681,1762711980716,72.7273,0.0,208.7,41.62,103761.72,BTC-21NOV25,103676.95,BTC,BTC,66433.72,0.00875,2025-11-09
0.0455,0.0335,0.0335,BTC-28NOV25-103000-P,0.0345,0.035,52.4,0.03453945,1762711980716,-19.2771,0.0,1.4,42.98,103853.03,BTC-28NOV25,103676.95,BTC,BTC,5786.86,0.03475,2025-11-09
0.0315,0.023,0.0235,BTC-28NOV25-100000-P,0.0235,0.024,3637.6,0.02367564,1762711980716,-20.339,0.0,29.1,44.72,103853.53,BTC-28NOV25,103676.95,BTC,BTC,80615.11,0.02375,2025-11-09
,,0.1315,BTC-26DEC25-114000-P,0.1205,0.1225,375.5,0.12132573,1762711980716,,0.0,0.0,43.17,104282.9,BTC-26DEC25,103676.95,BTC,BTC,0.0,0.1215,2025-11-09
0.01,0.0039,0.0045,BTC-11NOV25-101000-P,0.0037,0.004,113.9,0.00386096,1762711980716,-40.0,0.0,10.4,49.71,103676.92067879284,SYN.BTC-11NOV25,103676.95,BTC,BTC,4976.13,0.00385,2025-11-09
,,0.008,BTC-25SEP26-300000-C,0.0075,0.0085,89.1,0.00800512,1762711980716,,0.0,0.0,55.36,108943.49,BTC-25SEP26,103676.95,BTC,BTC,0.0,0.008,2025-11-09
0.001,0.0009,0.001,BTC-26DEC25-170000-C,0.0008,0.0009,3161.7,0.00085317,1762711980716,11.1111,0.0,8.1,58.37,104282.9,BTC-26DEC25,103676.95,BTC,BTC,767.98,0.00085,2025-11-09
0.079,0.077,0.077,BTC-28NOV25-96000-C,0.088,0.0905,5.7,0.0896112,1762711980716,-2.5316,0.0,0.2,47.68,103853.53,BTC-28NOV25,103676.95,BTC,BTC,1593.62,0.08925,2025-11-09
0.0047,0.0006,0.0007,BTC-10NOV25-100000-P,0.0005,0.0008,495.0,0.00061243,1762711980716,-72.0,0.0,736.5,59.06,103676.23423839045,SYN.BTC-10NOV25,103676.95,BTC,BTC,216563.28,0.00065,2025-11-09
,,,BTC-10NOV25-92000-C,0.0975,0.126,0.0,0.11266263,1762711980716,,0.0,0.0,106.16,103676.23423839045,SYN.BTC-10NOV25,103676.95,BTC,BTC,0.0,0.11175,2025-11-09
,,,BTC-28NOV25-240000-P,1.2335,1.395,0.0,1.3109902,1762711980716,,0.0,0.0,99.62,103853.03,BTC-28NOV25,103676.95,BTC,BTC,0.0,1.31425,2025-11-09
,,0.19,BTC-28NOV25-130000-P,0.251,0.255,39.8,0.25269102,1762711980716,,0.0,0.0,48.57,103853.53,BTC-28NOV25,103676.95,BTC,BTC,0.0,0.253,2025-11-09
,,,BTC-11NOV25-96000-C,0.073,0.0755,0.0,0.07455108,1762711980716,,0.0,0.0,63.04,103676.92067879284,SYN.BTC-11NOV25,103676.95,BTC,BTC,0.0,0.07425,2025-11-09
,,0.2415,BTC-25SEP26-120000-P,0.238,0.241,29.5,0.23936522,1762711980717,,0.0,0.0,47.38,108942.91,BTC-25SEP26,103676.95,BTC,BTC,0.0,0.2395,2025-11-09
0.098,0.098,0.098,BTC-14NOV25-112000-P,0.08,0.0835,181.3,0.08184454,1762711980717,0.0,0.0,0.5,46.2,103679.89,BTC-14NOV25,103676.95,BTC,BTC,4998.42,0.08175,2025-11-09
0.0165,0.013,0.0165,BTC-26DEC25-120000-C,0.016,0.0165,7246.9,0.01640447,1762711980717,22.2222,0.0,248.4,43.3,104283.43,BTC-26DEC25,103676.95,BTC,BTC,344405.85,0.01625,2025-11-09
,,0.352,BTC-27MAR26-75000-C,0.31,0.3115,8.3,0.31086267,1762711980717,,0.0,0.0,53.38,105623.87,BTC-27MAR26,103676.95,BTC,BTC,0.0,0.31075,2025-11-09
,,0.435,BTC-26DEC25-180000-P,0.706,0.7475,8.2,0.7266591,1762711980717,,0.0,0.0,61.39,104282.9,BTC-26DEC25,103676.95,BTC,BTC,0.0,0.72675,2025-11-09
,,0.031,BTC-11NOV25-99000-C,0.0455,0.0475,15.1,0.04677627,1762711980717,,0.0,0.0,54.72,103676.92067879284,SYN.BTC-11NOV25,103676.95,BTC,BTC,0.0,0.0465,2025-11-09
0.0041,0.0012,0.0032,BTC-21NOV25-90000-P,0.0031,0.0035,458.0,0.00331707,1762711980717,166.6667,0.0,343.3,56.46,103761.72,BTC-21NOV25,103676.95,BTC,BTC,52877.33,0.0033,2025-11-09
0.021,0.0085,0.021,BTC-12NOV25-103000-C,0.018,0.019,22.1,0.01836466,1762711980717,90.9091,0.0,5.2,44.5,103677.60711919522,SYN.BTC-12NOV25,103676.95,BTC,BTC,7227.42,0.0185,2025-11-09
