date,expiration,strike,bid,ask,vol,delta,gamma,theta,vega,rho,mid,tau_days,tau_years,S,r,DF,PV_div,F,n_pairs_atm,alpha_hat,alpha_used,C_eur,moneyness_F,lower_bound,upper_bound,upper_from_put,C_eur_pre,P_A
2020-01-06,2020-01-21,275.0,48.52,48.75,0.3116,0.9954,0.0006,-0.0213,0.0087,0.1123,48.635000000000005,15,0.0410958904109589,323.6400146484375,0.0155,0.9993632165313348,0.0,323.84623457700565,3,0.0,0.0,48.81513010232047,0.8491684343935432,48.81513010232047,48.81513010232047,48.85013010232046,48.635000000000005,0.035
2020-01-06,2020-01-21,290.0,33.57,33.78,0.2383,0.9891,0.0018,-0.0278,0.0188,0.1176,33.675,15,0.0410958904109589,323.6400146484375,0.0155,0.9993632165313348,0.0,323.84623457700565,3,0.0,0.0,33.824681854350445,0.8954867126331909,33.824681854350445,33.824681854350445,33.88968185435044,33.675,0.065
2020-01-06,2020-01-21,301.0,22.69,22.87,0.1939,0.9689,0.0055,-0.0428,0.046,0.1194,22.78,15,0.0410958904109589,323.6400146484375,0.0155,0.9993632165313348,0.0,323.84623457700565,3,0.0,0.0,22.831686472505762,0.9294534500089326,22.831686472505762,22.831686472505762,22.99668647250576,22.78,0.165
2020-01-06,2020-01-21,311.0,13.05,13.21,0.1562,0.8987,0.0173,-0.073,0.1161,0.114,13.13,15,0.0410958904109589,323.6400146484375,0.0155,0.9993632165313348,0.0,323.84623457700565,3,0.0,0.0,13.13,0.9603323021686979,12.838054307192413,13.13,13.338054307192413,13.13,0.5
2020-01-06,2020-01-21,317.0,7.68,7.73,0.1317,0.7852,0.0338,-0.0952,0.1914,0.1012,7.705,15,0.0410958904109589,323.6400146484375,0.0155,0.9993632165313348,0.0,323.84623457700565,3,0.0,0.0,7.705,0.978859613464557,6.841875008004404,7.705,7.906875008004404,7.705,1.065
2020-01-06,2020-01-21,324.0,2.39,2.43,0.0988,0.4819,0.0615,-0.093,0.2613,0.063,2.41,15,0.0410958904109589,323.6400146484375,0.0155,0.9993632165313348,0.0,323.84623457700565,3,0.0,0.0,2.41,1.0004748099763927,0.0,2.41,2.616332492285061,2.41,2.77
2020-01-06,2020-01-21,330.0,0.23,0.25,0.0754,0.1027,0.0362,-0.031,0.1173,0.0136,0.24,15,0.0410958904109589,323.6400146484375,0.0155,0.9993632165313348,0.0,323.84623457700565,3,0.0,0.0,0.24,1.0190021212722518,0.0,0.24,0.5351531930970532,0.24,6.6850000000000005
2020-01-06,2020-01-21,337.0,0.01,0.02,0.0773,0.005,0.0029,-0.0025,0.0095,0.0007,0.015,15,0.0410958904109589,323.6400146484375,0.0155,0.9993632165313348,0.0,323.84623457700565,3,0.0,0.0,0.015,1.0406173177840874,0.0,0.015,0.4546106773777101,0.015,13.600000000000001
2020-01-06,2020-01-21,346.0,0.0,0.01,0.0773,0.0,0.0,0.0,0.0,0.0,0.005,15,0.0410958904109589,323.6400146484375,0.0155,0.9993632165313348,0.0,323.84623457700565,3,0.0,0.0,0.005,1.0684082847278762,0.0,0.005,0.4653417285956962,0.005,22.605
2020-01-06,2020-01-21,350.0,0.0,0.01,0.0773,0.0,0.0,0.0,0.0,0.0,0.005,15,0.0410958904109589,323.6400146484375,0.0155,0.9993632165313348,0.0,323.84623457700565,3,0.0,0.0,0.005,1.080759825591782,0.0,0.005,0.46288886247035776,0.005,26.6
2020-01-06,2020-02-03,275.0,48.76,48.99,0.264,0.9884,0.0013,-0.0254,0.027,0.2077,48.875,28,0.07671232876712329,323.6400146484375,0.0155,0.9988116655333753,0.0,324.02506480099083,3,0.0,0.0,48.96680662675931,0.8486997762623674,48.96680662675931,48.96680662675931,49.071806626759304,48.875,0.10500000000000001
2020-01-06,2020-02-03,290.0,33.96,34.17,0.2212,0.9666,0.0038,-0.0393,0.0666,0.2137,34.065,28,0.07671232876712329,323.6400146484375,0.0155,0.9988116655333753,0.0,324.02506480099083,3,0.0,0.0,34.065,0.8949924913312237,33.984631643758675,34.065,34.249631643758676,34.065,0.265
2020-01-06,2020-02-03,301.0,23.34,23.52,0.1901,0.9215,0.0086,-0.0574,0.1312,0.2106,23.43,28,0.07671232876712329,323.6400146484375,0.0155,0.9988116655333753,0.0,324.02506480099083,3,0.0,0.0,23.43,0.9289404823817184,22.99770332289155,23.43,23.60270332289155,23.43,0.605
2020-01-06,2020-02-03,311.0,14.14,14.27,0.1601,0.8251,0.018,-0.0778,0.2308,0.1938,14.205,28,0.07671232876712329,323.6400146484375,0.0155,0.9988116655333753,0.0,324.02506480099083,3,0.0,0.0,14.205,0.9598022924276227,13.009586667557796,14.205,14.374586667557796,14.205,1.365
2020-01-06,2020-02-03,317.0,9.05,9.11,0.1394,0.7166,0.0271,-0.0859,0.3033,0.1708,9.08,28,0.07671232876712329,323.6400146484375,0.0155,0.9988116655333753,0.0,324.02506480099083,3,0.0,0.0,9.08,0.9783193784551653,7.016716674357544,9.08,9.251716674357544,9.08,2.2350000000000003
2020-01-06,2020-02-03,324.0,3.86,3.91,0.1109,0.4999,0.0402,-0.0781,0.3573,0.121,3.885,28,0.07671232876712329,323.6400146484375,0.0155,0.9988116655333753,0.0,324.02506480099083,3,0.0,0.0,3.885,0.9999226454872983,0.025035015623916697,3.885,4.075035015623917,3.885,4.050000000000001
2020-01-06,2020-02-03,330.0,0.96,0.98,0.0867,0.2201,0.0381,-0.0444,0.2653,0.0539,0.97,28,0.07671232876712329,323.6400146484375,0.0155,0.9988116655333753,0.0,324.02506480099083,3,0.0,0.0,0.97,1.0184397315148408,0.0,0.97,1.2321650224236649,0.97,7.2
2020-01-06,2020-02-03,337.0,0.08,0.09,0.0771,0.0318,0.0103,-0.0093,0.0639,0.0078,0.08499999999999999,28,0.07671232876712329,323.6400146484375,0.0155,0.9988116655333753,0.0,324.02506480099083,3,0.0,0.0,0.08499999999999999,1.040042998546974,0.0,0.08499999999999999,0.6404833636900396,0.08499999999999999,13.600000000000001
2020-01-06,2020-02-03,345.0,0.01,0.02,0.088,0.0049,0.0018,-0.0021,0.0127,0.0012,0.015,28,0.07671232876712329,323.6400146484375,0.0155,0.9988116655333753,0.0,324.02506480099083,3,0.0,0.0,0.015,1.0647324465836971,0.0,0.015,0.649990039423038,0.015,21.6
2020-01-06,2020-02-03,355.0,0.0,0.01,0.088,0.0001,0.0,0.0,0.0003,0.0,0.005,28,0.07671232876712329,323.6400146484375,0.0155,0.9988116655333753,0.0,324.02506480099083,3,0.0,0.0,0.005,1.0955942566296015,0.0,0.005,0.661873384089283,0.005,31.6
2020-01-06,2020-02-21,275.0,49.26,49.45,0.2481,0.972,0.0023,-0.0329,0.0738,0.334,49.355000000000004,46,0.12602739726027398,323.6400146484375,0.0155,0.9980484820346834,0.0,324.27283891925265,3,0.0,0.0,49.355000000000004,0.8480512919815585,49.176682088899575,49.355000000000004,49.47168208889958,49.355000000000004,0.295
