date,act_symbol,expiration,strike,bid,ask,vol,delta,gamma,theta,vega,rho,mid,tau_days,tau_years,S,r,DF,PV_div,F,n_pairs_atm,alpha_hat,alpha_used,C_eur,moneyness_F,lower_bound,upper_bound,upper_from_put,C_eur_pre,P_A
2020-01-06,XOP,2020-01-17,20.5,3.7,3.8,0.5877,0.9535,0.0395,-0.0118,0.0041,0.0058,3.75,11,0.030136986301369864,96.76000213623048,0.0155,0.9995329857974257,0.0,96.80521154490516,0,0.0,0.0,76.26957592738326,0.2117654584173977,76.26957592738326,76.26957592738326,76.28457592738326,3.75,0.015
2020-01-06,XOP,2020-01-17,22.0,2.24,2.29,0.4024,0.9195,0.0885,-0.0124,0.0063,0.006,2.265,11,0.030136986301369864,96.76000213623048,0.0155,0.9995329857974257,0.0,96.80521154490516,0,0.0,0.0,74.77027644868711,0.2272604919601341,74.77027644868711,74.77027644868711,74.79527644868712,2.265,0.025
2020-01-06,XOP,2020-01-17,22.5,1.78,1.84,0.3846,0.87,0.131,-0.0165,0.0089,0.0058,1.81,11,0.030136986301369864,96.76000213623048,0.0155,0.9995329857974257,0.0,96.80521154490516,0,0.0,0.0,74.2705099557884,0.23242550314104624,74.2705099557884,74.2705099557884,74.3355099557884,1.81,0.065
2020-01-06,XOP,2020-01-17,23.0,1.36,1.38,0.3565,0.8037,0.185,-0.0197,0.0116,0.0054,1.37,11,0.030136986301369864,96.76000213623048,0.0155,0.9995329857974257,0.0,96.80521154490516,0,0.0,0.0,73.77074346288968,0.23759051432195838,73.77074346288968,73.77074346288968,73.89574346288968,1.37,0.125
2020-01-06,XOP,2020-01-17,23.5,0.97,0.99,0.3396,0.7018,0.2433,-0.0233,0.0146,0.0048,0.98,11,0.030136986301369864,96.76000213623048,0.0155,0.9995329857974257,0.0,96.80521154490516,0,0.0,0.0,73.27097696999098,0.24275552550287052,73.27097696999098,73.27097696999098,73.51097696999098,0.98,0.24
2020-01-06,XOP,2020-01-17,24.0,0.65,0.67,0.3316,0.5694,0.2823,-0.0255,0.0165,0.0039,0.66,11,0.030136986301369864,96.76000213623048,0.0155,0.9995329857974257,0.0,96.80521154490516,0,0.0,0.0,72.77121047709227,0.24792053668378264,72.77121047709227,72.77121047709227,73.19121047709227,0.66,0.42
2020-01-06,XOP,2020-01-17,24.5,0.41,0.43,0.3301,0.4268,0.2831,-0.0252,0.0165,0.003,0.42,11,0.030136986301369864,96.76000213623048,0.0155,0.9995329857974257,0.0,96.80521154490516,0,0.0,0.0,72.27144398419355,0.2530855478646948,72.27144398419355,72.27144398419355,72.95144398419356,0.42,0.6799999999999999
2020-01-06,XOP,2020-01-17,25.0,0.25,0.26,0.3329,0.2973,0.2478,-0.0223,0.0145,0.0021,0.255,11,0.030136986301369864,96.76000213623048,0.0155,0.9995329857974257,0.0,96.80521154490516,0,0.0,0.0,71.77167749129484,0.25825055904560695,71.77167749129484,71.77167749129484,72.79167749129483,0.255,1.02
2020-01-06,XOP,2020-01-17,26.0,0.08,0.1,0.3511,0.126,0.1405,-0.014,0.0087,0.0009,0.09,11,0.030136986301369864,96.76000213623048,0.0155,0.9995329857974257,0.0,96.80521154490516,0,0.0,0.0,70.77214450549741,0.2685805814074312,70.77214450549741,70.77214450549741,72.62714450549741,0.09,1.855
2020-01-06,XOP,2020-01-17,26.5,0.05,0.06,0.3654,0.081,0.0978,-0.0106,0.0063,0.0006,0.055,11,0.030136986301369864,96.76000213623048,0.0155,0.9995329857974257,0.0,96.80521154490516,0,0.0,0.0,70.2723780125987,0.27374559258834336,70.2723780125987,70.2723780125987,72.5973780125987,0.055,2.325
